
2024/05/27 (18:31:00) | ===> btop++ v.1.3.2
2024/05/27 (18:31:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/27 (22:38:56) | ===> btop++ v.1.3.2
2024/05/27 (22:38:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/27 (22:39:20) | ===> btop++ v.1.3.2
2024/05/27 (22:39:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/28 (00:11:20) | ===> btop++ v.1.3.2
2024/05/28 (00:11:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/28 (09:00:57) | ===> btop++ v.1.3.2
2024/05/28 (09:00:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/28 (09:44:56) | ===> btop++ v.1.3.2
2024/05/28 (09:44:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/28 (11:02:44) | ===> btop++ v.1.3.2
2024/05/28 (11:02:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/28 (11:03:27) | ===> btop++ v.1.3.2
2024/05/28 (11:03:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/28 (20:46:02) | ===> btop++ v.1.3.2
2024/05/28 (20:46:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/29 (12:39:24) | ===> btop++ v.1.3.2
2024/05/29 (12:39:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/29 (17:15:37) | ===> btop++ v.1.3.2
2024/05/29 (17:15:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/29 (17:58:35) | ERROR: Stall in Runner thread, restarting!
2024/05/29 (17:58:41) | ERROR: Stall in Runner thread, restarting!
2024/05/29 (17:58:47) | ERROR: Stall in Runner thread, restarting!
2024/05/29 (17:58:53) | ERROR: Stall in Runner thread, restarting!
2024/05/29 (17:58:59) | ERROR: Stall in Runner thread, restarting!
2024/05/29 (17:59:05) | ERROR: Stall in Runner thread, restarting!
2024/05/29 (17:59:11) | ERROR: Stall in Runner thread, restarting!
2024/05/29 (17:59:17) | ERROR: Stall in Runner thread, restarting!
2024/05/29 (17:59:23) | ERROR: Stall in Runner thread, restarting!
2024/05/29 (17:59:29) | ERROR: Stall in Runner thread, restarting!
2024/05/29 (17:59:35) | ERROR: Stall in Runner thread, restarting!
2024/05/29 (17:59:41) | ERROR: Stall in Runner thread, restarting!
